READ_NEME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS
>r1	ref	1084	+	2
>r2	ref	149	+	2
>r3	ref	20	+	1
>r4	ref	34	-	2
>r5	ref	82	+	11
>r6	ref	273	-	5
>r7	ref	541	+	3
>r8	ref	755	+	1
>r9	ref	103	+	1
>r10	ref	121	-	1
>r11	ref	133	+	1
>r12	ref	153	-	1
>r13	ref	0	*	0
>r14	ref	839	-	1
>r15	ref	49	+	4
>r16	ref	202	+	5
>r17	ref	243	+	2
>r18	ref	78	-	1
>r19	ref	732	+	1
>r20	ref	0	*	0
>r21	ref	417	+	3
>r22	ref	1237	-	1
>r23	ref	1285	+	1
>r24	ref	1294	-	1
>r25	ref	112	+	1
>r26	ref	124	-	1
>r27	ref	193	-	2
>r28	ref	583	-	2
>r29	ref	864	+	1
>r30	ref	880	-	1
>r31	ref	337	+	2
>r32	ref	1125	-	1
>r33	ref	4	-	4
>r34	ref	503	-	1
>r35	ref	1307	+	1
>r36	ref	1318	-	1
>r37	ref	349	+	3
>r38	ref	359	-	1
>r39	ref	612	+	1
>r40	ref	126	+	3
>r41	ref	127	+	1
>r42	ref	143	-	1
>r43	ref	354	-	4
>r44	ref	586	-	1
>r45	ref	33	+	2
>r46	ref	49	-	4
>r47	ref	492	+	2
>r48	ref	245	+	4
>r49	ref	447	+	2
>r50	ref	978	-	1
>r51	ref	346	+	2
>r52	ref	1087	-	1
>r53	ref	131	+	3
>r54	ref	0	*	0
>r55	ref	1228	+	1
>r56	ref	1238	-	1
>r57	ref	137	+	2
>r58	ref	0	*	0
>r59	ref	8	+	2
>r60	ref	0	*	0
>r61	ref	83	-	4
>r62	ref	252	-	2
>r63	ref	837	+	2
>r64	ref	905	-	1
>r65	ref	75	+	3
>r66	ref	945	-	1
>r67	ref	0	*	0
>r68	ref	232	-	1
>r69	ref	581	-	2
>r70	ref	207	+	5
>r71	ref	915	+	1
>r72	ref	205	+	5
>r73	ref	70	+	2
>r74	ref	87	-	2
>r75	ref	991	+	1
>r76	ref	0	*	0
>r77	ref	504	+	2
>r78	ref	987	-	1
>r79	ref	1248	+	1
>r80	ref	1263	-	1
>r81	ref	343	+	2
>r82	ref	355	-	2
>r83	ref	40	+	1
>r84	ref	54	-	2
>r85	ref	0	*	0
>r86	ref	630	-	1
>r87	ref	633	-	2
>r88	ref	1018	-	1
>r89	ref	0	*	0
>r90	ref	349	+	3
>r91	ref	0	*	0
>r92	ref	820	-	1
>r93	ref	0	*	0
>r94	ref	942	-	2
>r95	ref	91	+	1
>r96	ref	102	+	3
>r97	ref	784	+	2
>r98	ref	365	-	2
>r99	ref	253	-	2
>r100	ref	324	-	3
>r101	ref	421	-	2
>r102	ref	0	*	0
>r103	ref	1060	+	1
>r104	ref	616	-	4
>r105	ref	777	-	2
>r106	ref	454	-	2
>r107	ref	338	+	3
>r108	ref	1075	-	1
>r109	ref	527	-	3
>r110	ref	479	-	3
>r111	ref	10	+	2
>r112	ref	87	-	2
>r113	ref	645	+	2
>r114	ref	751	-	2
>r115	ref	346	+	2
>r116	ref	358	-	1
>r117	ref	47	-	8
>r118	ref	239	-	3
>r119	ref	461	+	2
>r120	ref	432	-	3
>r121	ref	174	+	2
>r122	ref	191	-	2
>r123	ref	211	+	6
>r124	ref	1107	-	1
>r125	ref	74	+	1
>r126	ref	85	-	4
>r127	ref	1121	+	1
>r128	ref	246	+	4
>r129	ref	157	+	1
>r130	ref	174	-	2
>r131	ref	432	+	3
>r132	ref	0	*	0
>r133	ref	842	+	1
>r134	ref	854	-	1
>r135	ref	165	+	3
>r136	ref	180	-	2
>r137	ref	393	+	2
>r138	ref	1017	-	1
>r139	ref	369	-	4
>r140	ref	714	-	1
>r141	ref	183	+	1
>r142	ref	1121	+	1
>r143	ref	1037	+	1
>r144	ref	979	-	1
>r145	ref	144	+	1
>r146	ref	57	+	2
>r147	ref	245	+	4
>r148	ref	252	-	2
>r149	ref	597	+	1
>r150	ref	611	-	1
>r151	ref	339	-	2
>r152	ref	581	-	2
>r153	ref	650	+	1
>r154	ref	0	*	0
>r155	ref	109	+	1
>r156	ref	121	-	1
>r157	ref	956	+	2
>r158	ref	248	-	3
>r159	ref	419	+	1
>r160	ref	368	-	7
>r161	ref	0	*	0
>r162	ref	198	-	3
>r163	ref	558	+	1
>r164	ref	354	+	4
>r165	ref	165	-	3
>r166	ref	556	-	1
>r167	ref	717	+	1
>r168	ref	726	-	1
>r169	ref	516	+	1
>r170	ref	526	-	4
>r171	ref	827	+	1
>r172	ref	0	*	0
>r173	ref	210	+	5
>r174	ref	420	-	3
>r175	ref	1065	+	1
>r176	ref	1079	-	1
>r177	ref	207	+	5
>r178	ref	0	*	0
>r179	ref	49	+	4
>r180	ref	475	-	3
>r181	ref	1311	-	1
>r182	ref	5	+	4
>r183	ref	873	+	1
>r184	ref	0	*	0
>r185	ref	745	+	1
>r186	ref	869	-	1
>r187	ref	507	+	2
>r188	ref	0	*	0
>r189	ref	0	*	0
>r190	ref	0	*	0
>r191	ref	277	+	2
>r192	ref	290	-	1
>r193	ref	391	+	1
>r194	ref	407	-	2
>r195	ref	50	-	1
>r196	ref	564	-	1
>r197	ref	0	*	0
>r198	ref	42	-	1
>r199	ref	195	+	1
>r200	ref	0	*	0
>r201	ref	336	+	1
>r202	ref	353	-	3
>r203	ref	1298	+	1
>r204	ref	5	+	4
>r205	ref	1120	+	1
>r206	ref	453	-	2
>r207	ref	47	-	8
>r208	ref	239	-	3
>r209	ref	72	+	2
>r210	ref	1284	-	1
>r211	ref	1138	+	1
>r212	ref	209	-	5
>r213	ref	1154	+	1
>r214	ref	1165	-	1
>r215	ref	339	-	2
>r216	ref	582	-	1
>r217	ref	75	+	3
>r218	ref	86	-	1
