id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	condA	condB
FBgn0036677	2040.14830837313	11.2935994908526	3392.71811429464	300.410698736272	8.23079238324912	9.20646791572506e-43	1.08396953239747e-38	neuron	nb
FBgn0030501	1420.08863505675	7.45817417084847	2361.84227564735	316.678348017	8.30687442033516	2.88126926961579e-41	1.69620321902281e-37	neuron	nb
FBgn0028904	1950.20616113923	14.1851007688269	3240.88686805284	228.471191066545	7.83586845078797	8.73426783085598e-40	3.42790898134994e-36	neuron	nb
FBgn0012036	2533.450477519	25.751105880724	4205.25005861119	163.303668513865	7.35141339027208	3.71818633257511e-37	1.09444814699348e-33	neuron	nb
FBgn0035922	4677.40355595925	61.2473468162972	7754.84102872122	126.615134072351	6.98430604751252	8.85370044744039e-37	2.08486938136326e-33	neuron	nb
FBgn0051386	1004.41391810746	15.647595914567	1663.59146623605	106.316106021587	6.73221635971378	5.32355548689567e-34	1.04465903837849e-30	neuron	nb
FBgn0065099	9285.21832910024	22989.6187699806	148.951368513372	0.00647907083643643	-7.2699973536172	9.03244552299515e-34	1.51925733696779e-30	neuron	nb
FBgn0030665	2442.17241239684	56.680673923423	4032.50023804579	71.1441829977851	6.15267389656779	1.35248059329408e-31	1.98935298731413e-28	neuron	nb
FBgn0035921	1060.97363796522	22.1618460433856	1753.51483257978	79.123139342588	6.30602776345319	1.52065371885741e-31	1.98935298731413e-28	neuron	nb
FBgn0034614	746.71280139958	11.6592232772877	1236.74852014778	106.074692175849	6.72893668177107	3.66502925767002e-31	4.31520544798068e-28	neuron	nb
FBgn0259211	3323.71615148233	86.8789943932519	5481.60758954171	63.0947403089127	5.97944783945304	1.14178971320552e-30	1.22213018938926e-27	neuron	nb
FBgn0040007	2155.348433435	88.6211440351636	3533.16662636823	39.8682127706038	5.31716702791813	1.72791720863999e-30	1.69537476787727e-27	neuron	nb
FBgn0010314	1727.26656261265	60.9152120433681	2838.16746299217	46.5920969128625	5.5420133563857	2.02726025793699e-29	1.83607402130385e-26	neuron	nb
FBgn0014861	4077.27369854827	120.606845548535	6715.05160054809	55.6772011572578	5.7990147849168	2.35387577136675e-29	1.97960952371944e-26	neuron	nb
FBgn0034553	440.790438888566	2.31320102237942	733.108597466024	316.92386021511	8.30799246962166	5.36356420545464e-29	4.21004033033486e-26	neuron	nb
FBgn0032929	728.412069261664	11.7189524291723	1206.20748048332	102.927927028757	6.68549066587941	1.44973356225717e-28	1.06682268512599e-25	neuron	nb
FBgn0065098	799.115562908454	1959.317510331	25.6475979600862	0.0130900672427275	-6.25538368145259	3.31684336325002e-28	2.29720669170034e-25	neuron	nb
FBgn0010382	3628.20557384536	112.842776743136	5971.78077191351	52.9212497624645	5.72577522688982	5.61892990524377e-28	3.67540448357445e-25	neuron	nb
FBgn0015270	563.152835807329	8.24915089560316	933.088625748479	113.113293423426	6.82162467904109	6.57353472262388e-28	4.0735156749565e-25	neuron	nb
FBgn0003888	3947.47324545917	143.074586226471	6483.73901828097	45.3171956619742	5.50198668133833	8.70716916839841e-28	5.12591048943615e-25	neuron	nb
FBgn0023395	1008.47346470343	29.1014491105239	1661.38814176536	57.0895330832361	5.83515435793416	9.91309853740448e-28	5.55794391330478e-25	neuron	nb
FBgn0033162	1262.4526119269	43.805120983061	2074.88427255613	47.3662491049498	5.56578752547367	1.82421273828155e-27	9.76285490023954e-25	neuron	nb
FBgn0024920	847.715717042234	18.6585554963106	1400.42049140618	75.0551398088182	6.22987896650401	9.04728546564551e-27	4.63142343793523e-24	neuron	nb
