Gene FPKM_nb1 FPKM_nb2 FPKM_nb3 FPKM_neuon1 FPKM_neuron2 FPKM_neuron3
FBgn0000003 0 1.94184 1.693 36.6331 88.9192 5.61795
FBgn0000008 1.66789 1.17125 0.916965 8.26767 7.95366 11.1352
FBgn0000014 1.14972 0.749039 0.731946 1.9079 1.90879 3.12492
FBgn0000015 0.377269 0.10139 0.189288 0.440806 0.0859167 1.06726
FBgn0000017 21.4861 14.3522 14.9443 101.917 102.056 116.044
FBgn0000018 7.56938 6.74735 6.40756 5.49712 6.02701 4.43154
FBgn0000022 0.362768 0 0 0 0 0
FBgn0000024 1.04988 0.839164 0.569698 8.13141 8.26189 9.29681
FBgn0000028 0.348339 0.103471 0.170003 4.75335 4.10849 4.80923
FBgn0000032 7.16456 3.45625 3.82967 5.93234 5.93396 6.72994
FBgn0000036 2.92914 1.06747 1.45972 27.3616 25.5751 32.0101
FBgn0000037 1.01632 0.486248 0.504167 6.26187 5.98428 7.34058
FBgn0000038 5.08331 1.14095 1.83508 26.7012 27.7571 41.5584
FBgn0000039 1.04632 0.779496 0.736787 13.9517 13.4365 12.8807
FBgn0000042 1363.11 1530.91 1559.42 2291.56 2211.04 1681.32
FBgn0000043 437.725 515.937 514.653 464.515 421.267 301.357
FBgn0000044 0.455251 0.799923 0.530648 1.02072 0.599524 0.423417
FBgn0000045 0 0 0 0.593065 0.473629 0
FBgn0000046 0.249138 0.276371 0.055099 0.476265 0.590367 0.100507
FBgn0000047 0 0.0482104 0.0614576 0.227693 0.16362 0
FBgn0000052 36.1048 41.8551 38.282 4.93776 4.96636 3.71509
FBgn0000053 61.232 70.8144 70.2366 3.40457 4.39891 2.5628
FBgn0000054 33.9798 29.3609 32.2742 63.1179 66.6532 86.8605
FBgn0000055 0.118334 0 0 2.83678 3.17821 2.3363
FBgn0000056 0 0 0.262522 0 0.495174 0.420613
FBgn0000057 8.85681 6.15267 4.93336 10.6478 7.31057 9.12599
FBgn0000061 0.124241 0.0478458 0 0.36866 0.475331 0.312129
FBgn0000063 18.3019 14.995 13.5 7.95357 7.17732 9.68093
FBgn0000064 367.605 230.528 231.822 53.5384 52.9309 97.9797
FBgn0000071 9.9397 7.85639 9.24332 5.69255 5.90204 7.81648
FBgn0000075 0 0.25665 0 0.422867 0.112103 0
FBgn0000077 3.39156 4.19906 4.07448 5.43481 9.48207 3.85573
FBgn0000078 0 0 0 0.0640681 0.0655515 0
FBgn0000079 0 0 0 0 0 0
FBgn0000083 3.88151 6.58962 7.12348 7.44605 6.4839 4.90199
FBgn0000084 4.03445 1.84601 3.20901 6.1571 5.72886 8.19381
FBgn0000092 0.148922 0.649504 0.588344 1.76602 1.61722 2.03937
FBgn0000094 0 0 0 0 0 0
FBgn0000097 10.9567 8.62203 8.64836 28.072 28.0916 35.7133
FBgn0000099 18.3916 10.3708 10.4813 227.044 218.553 250.184
FBgn0000100 1586.34 1155.72 1198.83 397.013 441.068 456.204
FBgn0000108 40.6467 18.9904 19.3618 216.847 211.548 328.476
FBgn0000109 9.70471 9.2025 9.29572 4.01101 5.75092 1.48293
FBgn0000114 6.44145 2.75539 4.00072 52.2091 53.5738 56.6504
