READ_NEME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS	HAMMING_DISTANCE
D81P8DQ1:109:D1CW8ACXX:8:1101:5837:32413/2	chr15:28356359-28371359	3773	-	1	1
D81P8DQ1:109:D1CW8ACXX:8:1101:6732:27190/2	chr15:28356359-28371359	2967	-	1	1
D81P8DQ1:109:D1CW8ACXX:8:1101:8262:62141/2	*	0	*	0	*
D81P8DQ1:109:D1CW8ACXX:8:1101:9451:93820/2	chr15:28356359-28371359	4063	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1101:13833:61838/2	*	0	*	0	*
D81P8DQ1:109:D1CW8ACXX:8:1101:17507:72480/2	chr15:28356359-28371359	3247	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1102:2937:78408/2	chr15:28356359-28371359	3158	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1102:20144:21233/2	*	0	*	0	*
D81P8DQ1:109:D1CW8ACXX:8:1103:14948:7416/2	chr15:28356359-28371359	4068	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1103:15386:88007/2	chr15:28356359-28371359	1338	+	1	1
D81P8DQ1:109:D1CW8ACXX:8:1103:16872:53890/2	chr15:28356359-28371359	338	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1104:11926:8913/2	chr15:28356359-28371359	4415	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1104:12442:14082/2	chr15:28356359-28371359	4868	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1104:14758:69251/2	chr15:28356359-28371359	4336	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1104:17435:16226/2	*	0	*	0	*
D81P8DQ1:109:D1CW8ACXX:8:1105:3407:33229/2	chr15:28356359-28371359	1200	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1105:7958:81125/2	chr15:28356359-28371359	1105	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1105:8557:38414/2	chr15:28356359-28371359	1914	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1106:12689:81094/2	chr15:28356359-28371359	1669	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1106:13185:13444/2	chr15:28356359-28371359	312	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1106:13533:47196/2	chr15:28356359-28371359	1427	-	1	2
D81P8DQ1:109:D1CW8ACXX:8:1106:18784:96440/2	chr15:28356359-28371359	643	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1107:5864:64229/2	chr15:28356359-28371359	1567	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1107:9829:95841/2	chr15:28356359-28371359	1380	-	1	1
D81P8DQ1:109:D1CW8ACXX:8:1107:10644:52569/2	chr15:28356359-28371359	2921	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1107:13871:86046/2	chr15:28356359-28371359	555	+	1	0
D81P8DQ1:109:D1CW8ACXX:8:1107:14997:59362/2	chr15:28356359-28371359	1741	-	1	0
D81P8DQ1:109:D1CW8ACXX:8:1107:17500:21487/2	chr15:28356359-28371359	4732	+	1	1
