READ_NAME 	 REF_NAME 	 POS 	 STRAND 	 NUMBER_OF_ALIGNMENTS 	 HAMMING_DISTANCE
r1	ref	1084	+	2	0
r2	ref	149	+	2	0
r3	ref	20	+	1	0
r4	ref	34	-	2	0
r5	ref	82	+	11	0
r6	ref	273	-	5	0
r7	ref	541	+	3	0
r8	ref	755	+	1	0
r9	ref	103	+	1	0
r10	ref	121	-	1	0
r11	ref	133	+	1	0
r12	ref	153	-	1	0
r13	ref	9	+	8	1
r14	ref	839	-	1	0
r15	ref	49	+	4	0
r16	ref	202	+	5	0
r17	ref	243	+	2	0
r18	ref	78	-	1	0
r19	ref	732	+	1	0
r20	ref	634	+	2	1
r21	ref	417	+	3	0
r22	ref	1237	-	1	0
r23	ref	1285	+	1	0
r24	ref	1294	-	1	0
r25	ref	112	+	1	0
r26	ref	124	-	1	0
r27	ref	193	-	2	0
r28	ref	583	-	2	0
r29	ref	864	+	1	0
r30	ref	880	-	1	0
r31	ref	337	+	2	0
r32	ref	1125	-	1	0
r33	ref	4	-	4	0
r34	ref	503	-	1	0
r35	ref	1307	+	1	0
r36	ref	1318	-	1	0
r37	ref	349	+	3	0
r38	ref	359	-	1	0
r39	ref	612	+	1	0
r40	ref	126	+	3	0
r41	ref	127	+	1	0
r42	ref	143	-	1	0
r43	ref	354	-	4	0
r44	ref	586	-	1	0
r45	ref	33	+	2	0
r46	ref	49	-	4	0
r47	ref	492	+	2	0
r48	ref	245	+	4	0
r49	ref	447	+	2	0
r50	ref	978	-	1	0
r51	ref	346	+	2	0
r52	ref	1087	-	1	0
r53	ref	131	+	3	0
r54	ref	96	+	5	1
r55	ref	1228	+	1	0
r56	ref	1238	-	1	0
r57	ref	137	+	2	0
r58	ref	77	+	2	1
r59	ref	8	+	2	0
r60	ref	136	+	10	1
r61	ref	83	-	4	0
r62	ref	252	-	2	0
r63	ref	837	+	2	0
r64	ref	905	-	1	0
r65	ref	75	+	3	0
r66	ref	945	-	1	0
r67	ref	26	+	14	1
r68	ref	232	-	1	0
r69	ref	581	-	2	0
r70	ref	207	+	5	0
r71	ref	915	+	1	0
r72	ref	205	+	5	0
r73	ref	70	+	2	0
r74	ref	87	-	2	0
r75	ref	991	+	1	0
r76	ref	148	-	14	1
r77	ref	504	+	2	0
r78	ref	987	-	1	0
r79	ref	1248	+	1	0
r80	ref	1263	-	1	0
r81	ref	343	+	2	0
r82	ref	355	-	2	0
r83	ref	40	+	1	0
r84	ref	54	-	2	0
r85	ref	308	+	13	1
r86	ref	630	-	1	0
r87	ref	633	-	2	0
r88	ref	1018	-	1	0
r89	ref	128	+	7	1
r90	ref	349	+	3	0
r91	ref	97	+	18	1
r92	ref	820	-	1	0
r93	ref	340	-	1	1
r94	ref	942	-	2	0
r95	ref	91	+	1	0
r96	ref	102	+	3	0
r97	ref	784	+	2	0
r98	ref	365	-	2	0
r99	ref	253	-	2	0
r100	ref	324	-	3	0
r101	ref	421	-	2	0
r102	ref	93	+	7	1
r103	ref	1060	+	1	0
r104	ref	616	-	4	0
r105	ref	777	-	2	0
r106	ref	454	-	2	0
r107	ref	338	+	3	0
r108	ref	1075	-	1	0
r109	ref	527	-	3	0
r110	ref	479	-	3	0
r111	ref	10	+	2	0
r112	ref	87	-	2	0
r113	ref	645	+	2	0
r114	ref	751	-	2	0
r115	ref	346	+	2	0
r116	ref	358	-	1	0
r117	ref	47	-	8	0
r118	ref	239	-	3	0
r119	ref	461	+	2	0
r120	ref	432	-	3	0
r121	ref	174	+	2	0
r122	ref	191	-	2	0
r123	ref	211	+	6	0
r124	ref	1107	-	1	0
r125	ref	74	+	1	0
r126	ref	85	-	4	0
r127	ref	1121	+	1	0
r128	ref	246	+	4	0
r129	ref	157	+	1	0
r130	ref	174	-	2	0
r131	ref	432	+	3	0
r132	ref	63	+	10	1
r133	ref	842	+	1	0
r134	ref	854	-	1	0
r135	ref	165	+	3	0
r136	ref	180	-	2	0
r137	ref	393	+	2	0
r138	ref	1017	-	1	0
r139	ref	369	-	4	0
r140	ref	714	-	1	0
r141	ref	183	+	1	0
r142	ref	1121	+	1	0
r143	ref	1037	+	1	0
r144	ref	979	-	1	0
r145	ref	144	+	1	0
r146	ref	57	+	2	0
r147	ref	245	+	4	0
r148	ref	252	-	2	0
r149	ref	597	+	1	0
r150	ref	611	-	1	0
r151	ref	339	-	2	0
r152	ref	581	-	2	0
r153	ref	650	+	1	0
r154	ref	115	-	3	1
r155	ref	109	+	1	0
r156	ref	121	-	1	0
r157	ref	956	+	2	0
r158	ref	248	-	3	0
r159	ref	419	+	1	0
r160	ref	368	-	7	0
r161	ref	49	+	14	1
r162	ref	198	-	3	0
r163	ref	558	+	1	0
r164	ref	354	+	4	0
r165	ref	165	-	3	0
r166	ref	556	-	1	0
r167	ref	717	+	1	0
r168	ref	726	-	1	0
r169	ref	516	+	1	0
r170	ref	526	-	4	0
r171	ref	827	+	1	0
r172	ref	56	-	14	1
r173	ref	210	+	5	0
r174	ref	420	-	3	0
r175	ref	1065	+	1	0
r176	ref	1079	-	1	0
r177	ref	207	+	5	0
r178	ref	17	+	20	1
r179	ref	49	+	4	0
r180	ref	475	-	3	0
r181	ref	1311	-	1	0
r182	ref	5	+	4	0
r183	ref	873	+	1	0
r184	ref	65	+	31	1
r185	ref	745	+	1	0
r186	ref	869	-	1	0
r187	ref	507	+	2	0
r188	ref	40	-	10	1
r189	ref	322	-	9	1
r190	ref	516	-	3	1
r191	ref	277	+	2	0
r192	ref	290	-	1	0
r193	ref	391	+	1	0
r194	ref	407	-	2	0
r195	ref	50	-	1	0
r196	ref	564	-	1	0
r197	ref	32	+	10	1
r198	ref	42	-	1	0
r199	ref	195	+	1	0
r200	ref	179	-	17	1
r201	ref	336	+	1	0
r202	ref	353	-	3	0
r203	ref	1298	+	1	0
r204	ref	5	+	4	0
r205	ref	1120	+	1	0
r206	ref	453	-	2	0
r207	ref	47	-	8	0
r208	ref	239	-	3	0
r209	ref	72	+	2	0
r210	ref	1284	-	1	0
r211	ref	1138	+	1	0
r212	ref	209	-	5	0
r213	ref	1154	+	1	0
r214	ref	1165	-	1	0
r215	ref	339	-	2	0
r216	ref	582	-	1	0
r217	ref	75	+	3	0
r218	ref	86	-	1	0
