READ_NEME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS	HAMMING_DISTANCE
>r1	ref	1084	+	2	1
>r2	ref	1118	-	1	0
>r3	ref	20	+	5	1
>r4	ref	34	-	1	0
>r5	ref	238	-	4	0
>r6	ref	273	-	4	0
>r7	ref	27	-	7	1
>r8	ref	755	-	1	0
>r9	ref	103	-	1	0
>r10	ref	121	-	1	0
>r11	ref	43	-	5	1
>r12	ref	153	-	1	0
>r13	ref	101	-	4	1
>r14	ref	839	-	1	0
>r15	ref	301	-	1	0
>r16	ref	888	-	3	0
>r17	ref	18	-	12	1
>r18	ref	78	-	1	0
>r19	ref	718	-	5	1
>r20	ref	745	-	1	1
>r21	ref	799	-	1	0
>r22	ref	1237	-	1	0
>r23	ref	182	-	9	1
>r24	ref	1294	-	1	0
>r25	ref	112	+	4	1
>r26	ref	124	-	1	0
>r27	ref	193	-	1	0
>r28	ref	583	-	2	0
>r29	ref	67	-	6	1
>r30	ref	880	-	1	0
>r31	ref	195	-	8	1
>r32	ref	1125	-	1	0
>r33	ref	4	-	1	0
>r34	ref	503	-	1	0
>r35	ref	7	-	4	1
>r36	ref	1318	-	1	0
>r37	ref	553	-	1	0
>r38	ref	359	-	1	0
>r39	ref	123	-	10	1
>r40	ref	542	-	1	0
>r41	ref	127	+	5	1
>r42	ref	143	-	1	0
>r43	ref	354	-	1	0
>r44	ref	586	-	1	0
>r45	ref	33	+	9	1
>r46	ref	49	-	3	0
>r47	ref	2	-	16	1
>r48	ref	282	-	2	0
>r49	ref	146	-	10	1
>r50	ref	978	-	1	0
>r51	ref	16	-	7	1
>r52	ref	1087	-	1	0
>r53	ref	1122	-	1	0
>r54	ref	1260	-	1	1
>r55	ref	795	-	4	1
>r56	ref	1238	-	1	0
>r57	ref	109	-	9	1
>r58	ref	49	-	20	2
>r59	ref	8	+	24	1
>r60	ref	474	-	4	1
>r61	ref	83	-	2	0
>r62	ref	252	-	1	0
>r63	ref	200	-	9	1
>r64	ref	905	-	1	0
>r65	ref	1159	-	1	0
>r66	ref	945	-	1	0
>r67	ref	53	-	5	1
>r68	ref	232	-	1	0
>r69	ref	581	-	1	0
>r70	ref	886	-	1	0
>r71	ref	7	-	13	1
>r72	ref	933	-	1	0
>r73	ref	750	-	1	0
>r74	ref	87	-	2	0
>r75	ref	244	-	8	1
>r76	ref	148	-	9	1
>r77	ref	737	-	1	0
>r78	ref	987	-	1	0
>r79	ref	1248	-	1	0
>r80	ref	1263	-	1	0
>r81	ref	182	-	8	1
>r82	ref	355	-	1	0
>r83	ref	40	+	7	1
>r84	ref	54	-	2	0
>r85	ref	457	-	8	1
>r86	ref	630	-	1	0
>r87	ref	633	-	1	0
>r88	ref	1018	-	1	0
>r89	ref	167	-	4	1
>r90	ref	553	-	1	0
>r91	ref	719	-	5	1
>r92	ref	820	-	1	0
>r93	ref	340	-	1	1
>r94	ref	942	-	2	0
>r95	ref	91	+	3	1
>r96	ref	104	-	1	0
>r97	ref	561	-	10	1
>r98	ref	365	-	2	0
>r99	ref	253	-	1	0
>r100	ref	324	-	2	0
>r101	ref	421	-	1	0
>r102	ref	170	-	6	1
>r103	ref	196	-	10	1
>r104	ref	616	-	4	0
>r105	ref	777	-	1	0
>r106	ref	454	-	2	0
>r107	ref	281	-	8	1
>r108	ref	1075	-	1	0
>r109	ref	527	-	2	0
>r110	ref	479	-	2	0
>r111	ref	10	+	9	1
>r112	ref	87	-	2	0
>r113	ref	118	-	6	1
>r114	ref	751	-	2	0
>r115	ref	16	-	7	1
>r116	ref	358	-	1	0
>r117	ref	47	-	4	0
>r118	ref	239	-	2	0
>r119	ref	701	-	1	0
>r120	ref	432	-	2	0
>r121	ref	961	-	1	0
>r122	ref	191	-	1	0
>r123	ref	913	-	1	0
>r124	ref	1107	-	1	0
>r125	ref	74	+	8	1
>r126	ref	85	-	1	0
>r127	ref	131	-	8	1
>r128	ref	281	-	2	0
>r129	ref	12	-	9	1
>r130	ref	174	-	1	0
>r131	ref	436	-	1	0
>r132	ref	443	-	4	1
>r133	ref	41	-	7	1
>r134	ref	854	-	1	0
>r135	ref	544	-	1	0
>r136	ref	180	-	2	0
>r137	ref	18	-	12	1
>r138	ref	1017	-	1	0
>r139	ref	369	-	1	0
>r140	ref	714	-	1	0
>r141	ref	183	+	12	1
>r142	ref	131	-	8	1
>r143	ref	234	-	7	1
>r144	ref	979	-	1	0
>r145	ref	30	-	9	1
>r146	ref	156	-	1	0
>r147	ref	282	-	2	0
>r148	ref	252	-	1	0
>r149	ref	450	-	6	1
>r150	ref	611	-	1	0
>r151	ref	339	-	1	0
>r152	ref	581	-	1	0
>r153	ref	185	-	8	1
>r154	ref	115	-	2	1
>r155	ref	25	-	9	1
>r156	ref	121	-	1	0
>r157	ref	1321	-	1	0
>r158	ref	248	-	2	0
>r159	ref	418	-	10	1
>r160	ref	368	-	5	0
>r161	ref	78	-	7	1
>r162	ref	198	-	3	0
>r163	ref	369	-	6	1
>r164	ref	572	-	3	0
>r165	ref	165	-	2	0
>r166	ref	556	-	1	0
>r167	ref	3	-	12	1
>r168	ref	726	-	1	0
>r169	ref	94	-	11	1
>r170	ref	526	-	1	0
>r171	ref	353	-	5	1
>r172	ref	56	-	7	1
>r173	ref	914	-	1	0
>r174	ref	420	-	1	0
>r175	ref	183	-	5	1
>r176	ref	1079	-	1	0
>r177	ref	886	-	1	0
>r178	ref	244	-	11	1
>r179	ref	301	-	1	0
>r180	ref	475	-	2	0
>r181	ref	1311	-	1	0
>r182	ref	190	-	3	0
>r183	ref	535	-	13	1
>r184	ref	77	-	15	1
>r185	ref	126	-	4	1
>r186	ref	869	-	1	0
>r187	ref	404	-	9	1
>r188	ref	40	-	6	1
>r189	ref	322	-	3	1
>r190	ref	516	-	2	1
>r191	ref	299	-	1	0
>r192	ref	290	-	1	0
>r193	ref	267	-	5	1
>r194	ref	407	-	1	0
>r195	ref	50	-	1	0
>r196	ref	564	-	1	0
>r197	ref	126	-	5	1
>r198	ref	42	-	1	0
>r199	ref	195	+	6	1
>r200	ref	179	-	12	1
>r201	ref	196	-	5	1
>r202	ref	353	-	2	0
>r203	ref	312	-	9	1
>r204	ref	190	-	3	0
>r205	ref	132	-	7	1
>r206	ref	453	-	2	0
>r207	ref	47	-	4	0
>r208	ref	239	-	2	0
>r209	ref	10	-	9	1
>r210	ref	1284	-	1	0
>r211	ref	243	-	8	1
>r212	ref	209	-	5	0
>r213	ref	23	-	6	1
>r214	ref	1165	-	1	0
>r215	ref	339	-	1	0
>r216	ref	582	-	1	0
>r217	ref	1159	-	1	0
>r218	ref	86	-	1	0
